lat,lon,radius_km
46.912,18.264,1
-36.718,144.315,1
52.709,6.943,1
-26.525,29.995,1
39.221,-4.276,1
-36.462,147.24,1
53.632,7.618,1
55.312,-3.207,1
54.864,11.894,1
-33.874,121.894,1
42.187,-82.84,1
43.4,-94.808,1
50.409,4.107,1
49.157,-103.029,1
48.454,2.16,1
49.301,1.625,1
-36.753,145.573,1
31.427,-86.963,1
50.613,-3.41,1
43.366,-81.485,1
53.94,10.27,1
57.919,19.139,1
57.136,-4.688,1
49.757,33.915,1
50.387,11.931,1
49.053,2.452,1
44.815,11.627,1
50.535,4.978,1
44.77,12.159,1
50.122,2.232,1
41.518,9.095,1
43.943,-82.876,1
57.119,9.363,1
48.861,1.743,1
34.154,-79.741,1
40.255,-103.859,1
42.707,-81.305,1
43.036,-79.352,1
45.443,8.232,1
41.479,15.556,1
45.893,0.196,1
40.296,-90.041,1
44.214,12.079,1
-32.201,152.522,1
41.519,0.326,1
50.541,4.462,1
57.694,-2.003,1
47.526,8.812,1
-33.326,148.085,1
41.157,-87.216,1
40.234,-88.595,1
47.994,7.788,1
57.421,10.466,1
50.893,13.344,1
43.339,-97.422,1
52.493,6.88,1
43.34,-83.739,1
41.451,-96.543,1
49.564,2.233,1
45.828,4.667,1
35.035,-78.884,1
38.252,-6.306,1
37.459,140.378,1
33.413,130.614,1
43.319,142.402,1
47.737,20.411,1
38.721,-8.321,1
41.106,-8.589,1
45.478,17.024,1
40.196,18.164,1
54.937,-7.572,1
37.795,14.215,1
37.982,-100.905,1
36.527,-76.781,1
-27.544,152.331,1
50.595,3.512,1
52.196,-1.481,1
40.478,-88.382,1
48.509,5.508,1
-31.065,135.774,1
46.979,-67.738,1
55.925,9.83,1
-37.219,148.265,1
55.4,9.994,1
44.419,8.921,1
49.356,7.521,1
47.922,10.657,1
48.629,10.004,1
41.237,22.697,1
-33.893,148.161,1
41.303,-94.486,1
-34.286,146.037,1
-29.693,152.933,1
46.713,25.572,1
42.023,9.41,1
45.777,21.311,1
40.768,22.406,1
37.437,-6.894,1
40.82,16.929,1
54.686,23.01,1
54.076,-2.309,1
-31.711,148.662,1
40.455,16.834,1
43.623,0.905,1
55.243,-4.858,1
55.854,-4.296,1
-34.756,149.718,1
-38.209,147.403,1
52.344,-7.049,1
-29.744,151.752,1
51.648,16.131,1
44.696,19.222,1
46.704,-101.71,1
41.29,-4.324,1
48.761,14.988,1
-35.185,149.131,1
43.178,-85.301,1
51.507,3.872,1
39.336,-101.721,1
-33.984,145.707,1
49.914,14.786,1
50.853,20.823,1
-36.718,141.473,1
53.006,6.051,1
52.576,1.732,1
46.963,16.866,1
31.57,-87.564,1
42.277,24.733,1
43.826,22.666,1
43.755,6.921,1
47.067,15.493,1
38.331,-98.847,1
37.711,-99.324,1
42.578,-111.731,1
41.201,-80.076,1
42.034,-94.247,1
39.858,-90.042,1
40.825,16.446,1
44.763,1.76,1
37.192,-3.778,1
40.891,-98.38,1
42.91,-92.809,1
53.485,11.972,1
52.023,6.659,1
51.493,10.738,1
51.155,13.06,1
43.051,-116.206,1
33.018,-80.088,1
51.181,9.372,1
40.547,-5.678,1
49.906,3.648,1
57.175,26.743,1
-30.978,150.256,1
-29.735,149.796,1
53.943,13.401,1
-30.606,148.971,1
46.691,21.043,1
49.867,1.712,1
41.516,23.873,1
47.854,21.423,1
51.864,10.978,1
40.464,23.286,1
56.014,14.691,1
38.896,-89.836,1
61.015,24.399,1
-37.821,142.066,1
50.95,-0.529,1
-28.275,29.124,1
48.405,13.384,1
48.39,16.379,1
39.846,-89.102,1
51.301,-0.905,1
47.75,-99.921,1
41.925,25.499,1
56.092,13.718,1
44.687,-92.812,1
45.571,22.901,1
-34.756,142.34,1
-34.506,144.852,1
50.057,-111.678,1
40.174,-95.933,1
52.842,-102.378,1
32.297,-81.076,1
-25.443,31.681,1
55.308,12.324,1
-34.095,20.961,1
53.544,9.317,1
54.174,7.893,1
60.29,24.996,1
38.547,-1.702,1
58.115,-3.649,1
33.725,-79.448,1
-30.327,152.487,1
-34.016,21.761,1
51.16,4.793,1
52.824,10.082,1
50.867,0.336,1
41.058,-88.099,1
-36.924,144.703,1
51.861,5.076,1
50.591,-113.826,1
39.855,-95.525,1
-33.485,145.531,1
39.173,-89.544,1
52.211,5.195,1
51.742,6.592,1
40.7,140.438,1
41.861,140.664,1
36.851,-87.551,1
-35.711,147.317,1
42.745,-94.228,1
48.573,-98.677,1
43.055,-77.647,1
36.187,-88.435,1
56.922,18.151,1
50.118,-106.96,1
48.933,7.944,1
57.968,12.693,1
40.588,-102.286,1
55.279,11.806,1
36.864,-121.411,1
53.318,-4.642,1
50.117,10.19,1
43.145,143.609,1
62.028,22.247,1
53.483,-1.38,1
52.303,4.727,1
38.443,-89.267,1
-27.836,25.906,1
-29.626,24.082,1
49.367,13.7,1
-36.982,147.142,1
39.358,-100.443,1
42.443,25.728,1
-36.723,142.175,1
38.681,-96.932,1
49.485,-100.536,1
38.568,-94.348,1
40.563,-98.403,1
46.001,-102.639,1
61.725,17.14,1
37.306,-6.872,1
42.124,-0.397,1
